id,category,question,answer_a,answer_b,answer_c,correct,correct_answer
182,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Co mówi etykieta jachtowa o noszeniu odbijaczy poza burtą podczas żeglugi?,"Wyraźnie neguje tego typu praktykę, odbijacze wykłada się bezpośrednio przed cumowaniem","Nie wspomina nic o tym,",Jest to dopuszczalne na wodach śródlądowych.,A,"Wyraźnie neguje tego typu praktykę, odbijacze wykłada się bezpośrednio przed cumowaniem"
183,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Przed wejściem na obcy jacht należy:,"Zapytać o pozwolenie wejścia i nie przeszkadzać w czasie posiłku,","Zagwizdać trzy razy,","Nic nie trzeba robić, można wejść, bo stanowimy brać żeglarską.",A,"Zapytać o pozwolenie wejścia i nie przeszkadzać w czasie posiłku,"
184,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Dwa jachty zacumowane są burta w burtę. Schodząc z jachtu zewnętrznego należy:,Przechodzić cicho po jego części dziobowej,Przechodzić przez jego część rufową,"Nie ma to znaczenia, bo mamy zgodę na takie cumowanie",A,Przechodzić cicho po jego części dziobowej
185,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Czy wchodząc do portu państwa innej bandery niż nasza należy?,Podnieść banderę tego państwa na topie grotmasztu,Podnieść banderę tego państwa pod prawym salingiem,Podnieść tylko banderę naszego państwa dla identyfikacji,B,Podnieść banderę tego państwa pod prawym salingiem
186,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Na jachcie w porcie podniesiona była duża gala flagowa z okazji uroczystości. Jak postępujemy po odejściu i dalszej żegludze pod żaglami?,Pozostawiamy galę flagową,Zamieniamy ją na małą galę flagową,"Zdejmujemy galę, pod żaglami nie nosi się gali",C,"Zdejmujemy galę, pod żaglami nie nosi się gali"
187,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jak wygląda duża gala flagowa?,To flagi kodu międzynarodowego podniesione wzdłuż want w dowolnej kolejności,To flagi kodu międzynarodowego podniesione pod salingami masztów,"To flagi kodu międzynarodowego podniesione od dziobu przez topy masztów do rufy ( w Polsce przyjęty układ flaga kodu i odpowiedzi, AB1, CD2 itd.)",C,"To flagi kodu międzynarodowego podniesione od dziobu przez topy masztów do rufy ( w Polsce przyjęty układ flaga kodu i odpowiedzi, AB1, CD2 itd.)"
188,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Jacht idzie pod żaglami w morzu, nadeszła mgła. Jaki sygnał należy nadawać?",Jeden dźwięk długi co 2 minuty,Dwa dźwięki długie co 2 minuty,Jeden dźwięk długi i dwa krótkie co 2 minuty,C,Jeden dźwięk długi i dwa krótkie co 2 minuty
189,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Idąc we mgle usłyszano na jachcie dwa dźwięki długie przed dziobem. Jak należy postąpić?,"Zmniejszyć szybkość, zmienić kurs w prawo, być w gotowości do manewrów","Nie zmieniać kursu, nasłuchiwać w którą stronę przemieszcza się statek nadający sygnał","Najlepiej zatrzymać się i poczekać, aż statek nadający sygnał oddali się",C,"Najlepiej zatrzymać się i poczekać, aż statek nadający sygnał oddali się"
190,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Czy do wody na jeziorach i morskich wodach przybrzeżnych można wyrzucać śmiecie,"Tak, z wyjątkiem odpadów z tworzyw sztucznych",Tak ale tylko daleko od brzegu,Nie wolno wyrzucać żadnych,C,Nie wolno wyrzucać żadnych
191,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Na jachcie jest WC. Czy można go używać w portach i podczas żeglugi?,"Tak, jeżeli WC jachtu połączony jest ze zbiornikiem lub WC ""chemiczny"" (zamknięty odpływ za burtę)","Tak, ale tylko co najmniej 1000 m od brzegu","Tak, byle poza portami",A,"Tak, jeżeli WC jachtu połączony jest ze zbiornikiem lub WC ""chemiczny"" (zamknięty odpływ za burtę)"
192,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Podczas żeglugi zobaczyliśmy na wodzie dużą plamę oleju. Co należy zrobić?,Szybko oddalić się od tego miejsca.,Próbować ją zlikwidować używając detergentów.,"Powiadomić właściwe służby (na śródlądziu straż pożarną, na morzu służbę ruchu/kapitanat)",C,"Powiadomić właściwe służby (na śródlądziu straż pożarną, na morzu służbę ruchu/kapitanat)"
193,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Czy przy zmywaniu naczyń na jachcie wskazane jest użycie detergentów?,"Tak, jak najwięcej bo dobrze emulgują tłuszcze","Jak najmniej, bo są szkodliwe dla środowiska","Nie ma to znaczenia, bo są obojętne dla środowiska",B,"Jak najmniej, bo są szkodliwe dla środowiska"
194,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Do jakiego znaku żeglugowego pływającego lub brzegowego może zacumować statek żaglowy:,Znaku zezwolenia na postój.,"Znaku zezwolenia na ruch statków żaglowych,",zabrania się cumowania do znaków żeglugowych.,C,zabrania się cumowania do znaków żeglugowych.
195,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Wody śródlądowe. Światło zielone nad białym pokazane na statku oznacza:,"Statek stojący na kotwicy,","Prom na uwięzi w ruchu,","Statek, który utracił zdolność do manewrowania.",B,"Prom na uwięzi w ruchu,"
196,Teoria żeglowania,Podniesienie miecza na kursie bajdewind spowoduje:,Konieczność balastowania na nawietrznej,Zwiększenie dryfu,Zwiększenie szybkości jachtu,B,Zwiększenie dryfu
197,Teoria żeglowania,"Jacht płynie bajdewindem z pewną szybkością, przy wietrze rzeczywistym o szybkości większej od zera. Największą szybkość z wymienionych poniżej ma zawsze:",Wiatr pozorny,Wiatr rzeczywisty,Wiatr ruchu własnego,A,Wiatr pozorny
198,Teoria żeglowania,Jacht płynie pod wiatr z wyluzowanymi żaglami. Od czego zależy długość drogi hamowania?,Od rozmieszczenia załogi na jachcie,Od wzajemnego położenia środka wyporu i środka ożaglowania,Od masy jachtu i jego prędkości w momencie ustawienia w linii wiatru,C,Od masy jachtu i jego prędkości w momencie ustawienia w linii wiatru
199,Teoria żeglowania,"Na płetwę sterową jachtu działa siła hydrodynamiczna, wielkość tej siły zależy od?",Kąta wychylenia płetwy sterowej i jej powierzchni,"Kąta wychylenia płetwy sterowej, jej powierzchni i szybkości jachtu",Tylko od powierzchni płetwy sterowej i szybkości jachtu,B,"Kąta wychylenia płetwy sterowej, jej powierzchni i szybkości jachtu"
200,Teoria żeglowania,"Pod jakim warunkiem jacht ""wywracalny"" (kąt krytyczny przechyłu np. ok. 50°) może być dopuszczony do żeglugi?",Jeżeli załoga ma założone pasy lub kamizelki ratunkowe,Jeżeli jest niezatapialny t.j. posiada zbiorniki wypornościowe o objętości w dm3 większej od masy jachtu w kg.,Jeżeli jest wyposażony w dwie pompy zęzowe,B,Jeżeli jest niezatapialny t.j. posiada zbiorniki wypornościowe o objętości w dm3 większej od masy jachtu w kg.
201,Teoria żeglowania,Jacht ma postawiony grot i fok. Przed zwrotem przez sztag zluzowano szot foka. Co to spowoduje?,"Zwiększenie zawietrzności jachtu, co utrudni zwrot",Zwiększenie przechyłu jachtu,Zwiększenie nawietrzności jachtu,C,Zwiększenie nawietrzności jachtu
202,Teoria żeglowania,"Jacht idzie pod żaglami kursem półwiatr, żagle ustawione są poprawnie. Czy po włączeniu silnika naprzód, co spowoduje zwiększenie szybkości jachtu żagle będą nadal pracować poprawnie?",Nadal poprawnie,Będzie trzeba je bardziej wybrać,Będzie trzeba je bardziej wyluzować,B,Będzie trzeba je bardziej wybrać
203,Teoria żeglowania,Półwiatr to kurs jachtu przy wietrze rzeczywistym wiejącym w stosunku do kursu jachtu pod kątem:,Ok. 90°,Ok. 60°,Ok. 150°,C,Ok. 150°
204,Teoria żeglowania,Jakim kursem względem wiatru rzeczywistego płynie pokazany na rysunku jacht (wiatr rzeczywisty strzałka niebieska),Bajdewindem,Baksztagiem,Półwiatrem,C,Półwiatrem
205,Teoria żeglowania,"Jacht stoi zacumowany do boi, jaki wiatr odczuwamy na jachcie",Pozorny,Rzeczywisty,Własny (ruchu własnego),B,Rzeczywisty
206,Teoria żeglowania,Nadmierne wybieranie żagli ustawionych prawidłowo - pod optymalnym kątem natarcia ( np. maksymalne wybranie żagli przy żegludze kursem półwiatr czy baksztag) spowoduje:,Zwiększenie siły ciągu,Zmniejszenie siły ciągu i na pewnych kursach zwiększenie dryfu,"Takie ustawienie nie zmienia siły ciągu, ale może mieć wpływ na dryf",B,Zmniejszenie siły ciągu i na pewnych kursach zwiększenie dryfu
207,Teoria żeglowania,Przy konieczności żeglugi z wiatrem przy bardzo silnym wietrze na jachcie typu slup NAJBEZPIECZNIEJ / NAJKORZYSTNIEJ jest:,Zrzucić grot i postawić mniejszy fok,Zarefować grot i pozostawić normalny fok,"Żeglować pod pełnymi żaglami, gdyż wiatr pozorny przy dużej szybkości będzie słabszy od rzeczywistego",B,Zarefować grot i pozostawić normalny fok
208,Teoria żeglowania,"Jacht mieczowy wyposażony jest w miecz o znacznym ciężarze (np. pewne jachty ""TANGO""). Czy podniesienie takiego miecza wpłynie na stateczność poprzeczną jachtu?",Stateczność polepszy się,Stateczność pogorszy się,Nie wpłynie na stateczność poprzeczną jachtu,B,Stateczność pogorszy się
209,Teoria żeglowania,Wielkość siły aerodynamicznej na żaglu przy tej samej sile wiatru zależy od:,"Tylko od kąta natarcia (kąt pomiędzy cięciwą żagla, a kierunkiem przepływu wiatru)","Kąta natarcia, powierzchni żagla i kształtu (profilu) żagla",Tylko od powierzchni żagla i materiału z jakiego jest wykonany,B,"Kąta natarcia, powierzchni żagla i kształtu (profilu) żagla"
210,Teoria żeglowania,"Jacht przy pewnej sile wiatru płynie kursem ostry bajdewind ze stałą szybkością, szkwał spowodował wzrost wiatru rzeczywistego, czy jacht może w tej sytuacji:",Popłynąć ostrzej do wiatru,Musi odpadać,"Musi luzować żagle, aby utrzymać kurs",A,Popłynąć ostrzej do wiatru
211,Teoria żeglowania,Aby ułatwić szybkie odpadanie jachtu o osprzęcie żaglowym typu slup idącego półwiatrem przy postawionym foku i grocie należy (poza sterowaniem),Luzować szoty grota,Luzować szoty foka,Wybierać szoty grota,A,Luzować szoty grota
212,Teoria żeglowania,Refowanie grota do bomu na jachcie typu slup spowoduje zmianę położenia środka ożaglowania:,Tylko obniżenie położenia środka ożaglowania,Obniżenie i przesunięcie do przodu środka ożaglowania,Położenie środka ożaglowania nie zmieni się,B,Obniżenie i przesunięcie do przodu środka ożaglowania
213,Teoria żeglowania,Na kursie baksztag siła powodująca dryf:,Jest taka sama jak dla pozostałych kursów względem wiatru,Jest największa.,Jest najmniejsza.,C,Jest najmniejsza.
214,Teoria żeglowania,Przesunięcie środka bocznego oporu jachtu mieczowego można uzyskać przez:,Odpowiednie balastowanie wzdłużne (większe obciążenie dziobu lub rufy) i/lub ustawienie miecza,Odpowiednie ustawianie żagli i/lub ich refowanie,Zmianę kursu jachtu względem wiatru,A,Odpowiednie balastowanie wzdłużne (większe obciążenie dziobu lub rufy) i/lub ustawienie miecza
215,Teoria żeglowania,Ciśnienie powietrza przepływającego po obu stronach żagla:,Spada po stronie zawietrznej,Rośnie po stronie zawietrznej,Spada po stronie nawietrznej,A,Spada po stronie zawietrznej
216,Teoria żeglowania,Jacht zmienia kurs względem wiatru z kursu bajdewind do kursu baksztag odpowiednio ustawiając żagle:,Siła przechylająca nie ulega zmianie,Siła przechylająca rośnie,Siła przechylająca maleje.,C,Siła przechylająca maleje.
217,Teoria żeglowania,Jacht typu slup jest zrównoważony żaglowo i płynie stałym kursem. Zerwał się szot grota i grot nie pracuje. Jaką tendencję wykaże jacht?,Wyostrzy,Odpadnie,Utrzyma kurs.,B,Odpadnie
218,Teoria żeglowania,Jacht płynie kursem pełnym (np. baksztagiem). Czy po wyostrzeniu (np. do bajdewindu) odczuwalny wiatr pozorny ulegnie zmianie?,Nie ulegnie zmianie.,Jego szybkość zmaleje.,Jego szybkość wzrośnie.,C,Jego szybkość wzrośnie.
219,Teoria żeglowania,Prawidłowo wykonany zwrot przez sztag to:,Przejście dziobem linii wiatru od kursu baksztag jednego halsu do kursu baksztag przeciwnego halsu.,Przejście dziobem linii wiatru od półwiatru jednego halsu do półwiatru przeciwnego halsu.,Przejście dziobem linii wiatru od kursu bajdewind jednego halsu do kursu bajdewind przeciwnego halsu.,C,Przejście dziobem linii wiatru od kursu bajdewind jednego halsu do kursu bajdewind przeciwnego halsu.
220,Teoria żeglowania,Dla jakiego kursu względem wiatru kierunek wiatru rzeczywistego i pozornego jest taki sam?,Fordewindu,Baksztagu,Półwiatru,A,Fordewindu
221,Teoria żeglowania,Jacht płynie wstecz na silniku. Wychylono płetwę sterowa w lewo. Jak zachowa się jacht?,Rufa będzie skręcać w kierunku wychylenia steru,Rufa będzie skręcać przeciwnie do kierunku wychylenia steru,Będzie płynął prosto wstecz,A,Rufa będzie skręcać w kierunku wychylenia steru
222,Teoria żeglowania,Siła ciągu działająca na żagiel to:,Składowa siły aerodynamicznej działającej na żagiel skierowana do tyłu równolegle do osi wzdłużnej jachtu.,Składowa siły aerodynamicznej działającej na żagiel skierowana prostopadle do osi wzdłużnej jachtu.,Składowa siły aerodynamicznej działającej na żagiel skierowana do przodu równolegle do osi wzdłużnej jachtu,C,Składowa siły aerodynamicznej działającej na żagiel skierowana do przodu równolegle do osi wzdłużnej jachtu
223,Teoria żeglowania,"Siła działająca na żagiel, powodująca dryf jachtu to:",Składowa siły aerodynamicznej działającej na żagiel skierowana do przodu równolegle do osi wzdłużnej jachtu.,Składowa siły aerodynamicznej działającej na żagiel skierowana do tyłu równolegle do osi wzdłużnej jachtu.,Składowa siły aerodynamicznej działającej na żagiel skierowana prostopadle do osi wzdłużnej jachtu.,C,Składowa siły aerodynamicznej działającej na żagiel skierowana prostopadle do osi wzdłużnej jachtu.
224,Teoria żeglowania,"Na rysunku pokazano schematycznie kadłub jachtu w przechyle oraz położenie środka ciężkości (SC) i środka wyporu (SW), oraz siły działające w tych punktach. Po zwiększeniu przechyłu taki jacht:",Przewróci się,Nie przewróci się,Nadal pozostanie w równowadze przy nowym kącie przechyłu,A,Przewróci się
225,Teoria żeglowania,W jakim celu stosuje się na jachtach zbiorniki lub inne elementy wypornościowe?,Tylko dla wzmocnienia konstrukcji jachtu,Dla zapewnienia pływalności po napełnieniu kadłuba wodą na skutek przewrócenia lub awarii kadłuba,Dla polepszenia stateczności jachtu,B,Dla zapewnienia pływalności po napełnieniu kadłuba wodą na skutek przewrócenia lub awarii kadłuba
226,Teoria żeglowania,Jacht płynący kursem bajdewind może najostrzej płynąć w stosunku do wiatru rzeczywistego pod kątem 40°. Jaki będzie kąt martwy dla takiego jachtu?,40°,120°,80°,C,80°
227,Teoria żeglowania,"Wyporność zbiorników i/lub elementów wypornościowych jachtu ""wywracalnego"" w litrach powinna być w stosunku do masy jachtu w kg:",Większa,Mniejsza,Równa,A,Większa
228,Teoria żeglowania,O stateczności poprzecznej jachtu decyduje wzajemne położenie:,Środka ciężkości jachtu i środka oporu bocznego,Środka ożaglowania i środka wyporu części zanurzonej kadłuba,Środka ciężkości jachtu i środka wyporu części zanurzonej kadłuba,C,Środka ciężkości jachtu i środka wyporu części zanurzonej kadłuba
229,Teoria żeglowania,Jaki wpływ na wielkość momentu przechylającego ma obniżenie środka ożaglowania jachtu (np. przez refowanie żagli)?,Zwiększa moment przechylający,Zmniejsza moment przechylający,Nie ma wpływu na moment przechylający,B,Zmniejsza moment przechylający
230,Teoria żeglowania,Na jakich kursach względem wiatru najbardziej jest przydatny obciągacz bomu?,Na bajdewindzie,Tylko na półwietrze,Na fordewindzie i baksztagu,C,Na fordewindzie i baksztagu
231,Wiadomości z zakresu meteorologii,Wzrostu siły wiatru podczas żeglugi wzdłuż nawietrznego brzegu można się spodziewać w miejscach:,Gdzie brzeg jest wysoki lub zalesiony,W miejscach obniżenia (przerwach) wysokiej linii brzegowej,Ukształtowanie terenu nie ma wpływu na szybkość wiatru,B,W miejscach obniżenia (przerwach) wysokiej linii brzegowej
232,Wiadomości z zakresu meteorologii,Krótkotrwałe i gwałtowne opady występują zazwyczaj:,Przy przechodzeniu frontu chłodnego,Przy przechodzeniu frontu ciepłego,Na obszarach o podwyższonym ciśnieniu,A,Przy przechodzeniu frontu chłodnego
233,Wiadomości z zakresu meteorologii,Front zokludowany powstaje na skutek:,Nasunięcie się frontu ciepłego na front chłodny ze względu na jego szybsze przemieszczanie się,Nasunięcie się frontu chłodnego na front ciepły ze względu na jego szybsze przemieszczanie się,Wzrostu ciśnienia na obszarze niżowym,B,Nasunięcie się frontu chłodnego na front ciepły ze względu na jego szybsze przemieszczanie się
234,Wiadomości z zakresu meteorologii,Stosunkowo długie i umiarkowane opady występują zazwyczaj:,Przy przechodzeniu frontu chłodnego,Przy przechodzeniu frontu ciepłego,Na obszarach wyżowych,B,Przy przechodzeniu frontu ciepłego
235,Wiadomości z zakresu meteorologii,Halo wokół słońca zwiastuje:,"Jest spowodowane chmurami cirrostratus, a zatem zwiastuje zbliżanie się frontu ciepłego i pogorszenie się pogody,","Jest spowodowane zmniejszoną wilgotnością powietrza, a zatem wskazuje polepszenie pogody","Jest spowodowane zwiększoną wilgotnością powietrza, a zatem wskazuje na możliwość wystąpienia mgieł",A,"Jest spowodowane chmurami cirrostratus, a zatem zwiastuje zbliżanie się frontu ciepłego i pogorszenie się pogody,"
236,Wiadomości z zakresu meteorologii,W jakim układzie barycznym mogą występować obszary o silniejszym wietrze?,Tylko w wyżu barycznym,Tylko w niżu barycznym,Zarówno w wyżu jak i niżu bo zależy to od gradientu ciśnienia,C,Zarówno w wyżu jak i niżu bo zależy to od gradientu ciśnienia
237,Wiadomości z zakresu meteorologii,Pogoda występująca w wyżu barycznym to:,Pogoda zmienna,Pogoda pochmurna - deszczowa,Pogoda z małym zachmurzeniem - bez opadów,C,Pogoda z małym zachmurzeniem - bez opadów
238,Wiadomości z zakresu meteorologii,Izobary kreślone na mapach pogody są to:,Linie łączące punkty o jednakowej temperaturze,Linie łączące punkty o jednakowej wilgotności powietrza,Linie łączące punkty o jednakowej wartości ciśnienia,C,Linie łączące punkty o jednakowej wartości ciśnienia
239,Wiadomości z zakresu meteorologii,Podczas bryzy nocnej wiatr wieje:,Od lądu do wody,Od wody do lądu,Zmienia kierunek na równoległy do linii brzegowej,A,Od lądu do wody
240,Wiadomości z zakresu meteorologii,Lampa ostrzegawcza funkcjonująca w ramach Systemu Sygnalizacji Ostrzegawczej na szlaku Wielkich Jezior Mazurskich nadaje sygnały świetlne z częstotliwością 40 błysków na minutę. Oznacza to:,"Uwaga. Spodziewane burze i wiatr, bez wskazania dokładnego czasu i miejsca nadejścia zjawiska meteorologicznego.",Niebezpieczeństwo. Występowanie burzy oraz silnego wiatru w bliskim obszarze,Brak spodziewanych niebezpiecznych zjawisk meteorologicznych,A,"Uwaga. Spodziewane burze i wiatr, bez wskazania dokładnego czasu i miejsca nadejścia zjawiska meteorologicznego."
241,Wiadomości z zakresu meteorologii,Na rysunku pokazano diagram kierunku i prędkości wiatru dla jednej doby (godziny od 08.00 do 08.00). Prognoza ICM. Jak zmieni się kierunek wiatru w ciągu tej doby?,na początku okresu SE 3°B na końcu S-SW 2°B,na początku okresu SW 2°B na końcu S-SW 3°B,na początku okresu NW 3°B na końcu SE 2°B,A,na początku okresu SE 3°B na końcu S-SW 2°B
242,Wiadomości z zakresu meteorologii,"Na polskiej mapie synoptycznej poszczególne skróty ""N, W"" oznaczają kolejno:","Wiatr północny (North), wiatr zachodni (West)","Centrum niżu, centrum wyżu","Chmury niskie, chmury wysokie",B,"Centrum niżu, centrum wyżu"
243,Wiadomości z zakresu meteorologii,Pojawiające się rano i nieznacznie rozbudowujące się drobne chmury Cumulus pokazane na rysunku zwiastują:,"ładniejszą, słoneczną pogodę,","nadejście długotrwałych opadów deszczu,",nadejście burz i silnych wiatrów,A,"ładniejszą, słoneczną pogodę,"
244,Wiadomości z zakresu meteorologii,Gdzie w układzie niżowym występuje największe i najmniejsze ciśnienie atmosferyczne?,"Najmniejsze w środku, a największe na zewnątrz",Największe w środku a najmniejsze na zewnątrz,"Największe w części północnej, a najmniejsze w południowej",A,"Najmniejsze w środku, a największe na zewnątrz"
245,Wiadomości z zakresu meteorologii,Silne szkwały mogą towarzyszyć chmurom:,Nimbostratus,Cumulonimbus,Stratus,B,Cumulonimbus
246,Wiadomości z zakresu meteorologii,Bryza dzienna to wiatr wiejący:,W nocy od strony morza w kierunku lądu,W dzień od strony morza w kierunku lądu,W dzień od strony lądu w kierunku morza,B,W dzień od strony morza w kierunku lądu
247,Wiadomości z zakresu meteorologii,"Symbol na mapie synoptycznej jak na rysunku, oznacza:",Front chłodny,Front ciepły,Front zokludowany,C,Front zokludowany
248,Wiadomości z zakresu meteorologii,Front atmosferyczny jest to:,Linia łącząca ośrodki wysokiego ciśnienia na danym obszarze,Zasięg występowania opadów na danym obszarze,Powierzchnia (warstwa) rozgraniczająca dwie masy powietrza o odmiennych właściwościach (szczególnie o różnej temperaturze),C,Powierzchnia (warstwa) rozgraniczająca dwie masy powietrza o odmiennych właściwościach (szczególnie o różnej temperaturze)
249,Wiadomości z zakresu meteorologii,Na rysunku pokazano fragment mapy synoptycznej. Jakiego wiatru możemy spodziewać się w Polsce?,Północno-wschodniego,Zachodniego,Południowo-wschodniego,A,Północno-wschodniego
250,Wiadomości z zakresu meteorologii,Wiatr określony w komunikacie meteorologicznym jako 1 - 2 w skali Beauforta to:,Wiatr słaby,Wiatr umiarkowany,Wiatr bardzo silny,A,Wiatr słaby
251,Wiadomości z zakresu meteorologii,Kolejne pojawianie się chmur pokazanych na rysunku Cirrus i Cirrostratus przy spadku ciśnienia zwiastuje:,Dalsze utrzymywanie się dobrej pogody,Słabnięcie wiatru i wzrost temperatury,Zbliżanie się frontu ciepłego,C,Zbliżanie się frontu ciepłego
252,Wiadomości z zakresu meteorologii,Wiatr przyziemny w wyżu wieje (półkula północna):,Prostopadle do izobar od centrum wyżu,Do centrum wyżu z zewnątrz,"Od środka wyżu odchylony zgodnie z ruchem wskazówek zegara, kąt 20°- 40° do izobary",C,"Od środka wyżu odchylony zgodnie z ruchem wskazówek zegara, kąt 20°- 40° do izobary"
253,Wiadomości z zakresu meteorologii,Z których chmur można spodziewać się opadów deszczu?,"Nimbostratus, Cumulonimbus",Cirrus i cirrostratus,"Stratocumulus, Cirrocumulus",A,"Nimbostratus, Cumulonimbus"
254,Wiadomości z zakresu meteorologii,"Jeżeli w prognozie radiowej słyszymy ""niż znad Danii pogłębia się i przesuwa szybko na południowy wschód"", to w ciągu najbliższej doby na Zalewie Zegrzyńskim spodziewamy się:",Słabnących wiatrów z kierunków wschodnich,Rosnącej siły wiatru z kierunków zachodnich,Słabych wiatrów północnych,B,Rosnącej siły wiatru z kierunków zachodnich
255,Wiadomości z zakresu meteorologii,Zagęszczenie izobar na mapie pogody informuje:,O słabnięciu wiatru,Zmianie zachmurzenia,Wystąpieniu silnego wiatru,C,Wystąpieniu silnego wiatru
256,Wiadomości z zakresu ratownictwa wodnego,"Kto ogłasza alarm ""Człowiek za burtą""","Kapitan, po wywołaniu go na pokład;","Kapitan, po wywołaniu załogi na pokład;","Osoba, która pierwsza zauważyła wypadnięcie człowieka",C,"Osoba, która pierwsza zauważyła wypadnięcie człowieka"
257,Wiadomości z zakresu ratownictwa wodnego,Jakiego koloru rakiet należy użyć celem wezwania pomocy?,"Zielonych,","Czerwonych,",Białych,B,"Czerwonych,"
258,Wiadomości z zakresu ratownictwa wodnego,"Hipotermia jest to stan organizmu z obniżoną temperaturą wewnętrzną spowodowany czynnikami zewnętrznymi jak np. woda, wiatr itp. Jak postępować z taką osobą?","Zabezpieczyć przed dalszą utratą ciepła np. folią NRC, koc, śpiwór. Poszkodowanemu można podać alkohol. Jak najszybciej zapewnić opiekę lekarską","Zabezpieczyć przed dalszą utratą ciepła np. folią NRC, koc, śpiwór. Poszkodowanemu podać ciepłe osłodzone płyny. Jak najszybciej zapewnić opiekę lekarską","Zabezpieczyć przed dalszą utratą ciepła np. folią NRC, koc, śpiwór. Nie podawać nic do picia. Jak najszybciej zapewnić opiekę lekarską",B,"Zabezpieczyć przed dalszą utratą ciepła np. folią NRC, koc, śpiwór. Poszkodowanemu podać ciepłe osłodzone płyny. Jak najszybciej zapewnić opiekę lekarską"
259,Wiadomości z zakresu ratownictwa wodnego,"Człowiekowi, który wypadł za burtę, koło ratunkowe należy rzucać blisko niego:","Od jego nawietrznej,","Od jego zawietrznej,","Od tej strony, w którą ma zwróconą twarz",A,"Od jego nawietrznej,"
260,Wiadomości z zakresu ratownictwa wodnego,W trakcie żeglugi bezpieczniej jest poruszać się po pokładzie po burcie:,"Zawietrznej,","Nawietrznej,",Nie ma to znaczenia,B,"Nawietrznej,"
261,Wiadomości z zakresu ratownictwa wodnego,W pobliżu jachtu na Zatoce Gdańskiej zaobserwowano pomarańczowy dym. Co to oznacza?,Wzywanie pomocy,Wzywanie pilota,"Ostrzeżenie ""manewruję z trudem""",A,Wzywanie pomocy
262,Wiadomości z zakresu ratownictwa wodnego,Po wywrotce jachtu należy przede wszystkim:,"Najpierw zebrać sprzęt, który wypadł z jachtu, a potem opuścić żagle",Natychmiast wzywać pomocy,"Sprawdzić czy cała załoga jest na powierzchni wody, założyć pasy ratunkowe, zabezpieczyć jacht przed wywróceniem do góry dnem",C,"Sprawdzić czy cała załoga jest na powierzchni wody, założyć pasy ratunkowe, zabezpieczyć jacht przed wywróceniem do góry dnem"
263,Wiadomości z zakresu ratownictwa wodnego,Jak wzywać pomocy w nocy (wody śródlądowe - do dyspozycji jest tylko latarka)?,Nadawać długie błyski,Zataczać zapaloną latarką kręgi,Poruszać latarką poziomo,B,Zataczać zapaloną latarką kręgi
264,Wiadomości z zakresu ratownictwa wodnego,"Po wyłowieniu człowieka, który wypadł za burtę stwierdzono, że nie oddycha. Co robić?",Natychmiast rozpocząć akcję resuscytacyjną i wezwać pomoc.,"Wezwać pomoc, jak najszybciej płynąć do brzegu i czekać na pomoc lekarską.",Ułożyć człowieka w pozycji bezpiecznej i zabezpieczyć przed utratą ciepła,A,Natychmiast rozpocząć akcję resuscytacyjną i wezwać pomoc.
265,Wiadomości z zakresu ratownictwa wodnego,Przy złamaniu kończyny należy:,Wezwać pogotowie ratunkowe,Ułożyć poszkodowanego w tzw. pozycji bezpiecznej,"Usztywnić 2 przyległe stawy, możliwie szybko zapewnić poszkodowanemu pomoc lekarską",C,"Usztywnić 2 przyległe stawy, możliwie szybko zapewnić poszkodowanemu pomoc lekarską"
266,Wiadomości z zakresu ratownictwa wodnego,"Na jachcie zerwała się top-wanta nawietrzna, maszt nie złamał się. Jakie działanie podjąć?",Jak najszybciej wykonać zwrot przez sztag i dokonać oceny sytuacji,"Wyostrzyć do linii wiatru, zrzucić żagle i dokonać prowizorycznej naprawy",Odpaść do baksztagu i dokonać prowizorycznej naprawy,A,Jak najszybciej wykonać zwrot przez sztag i dokonać oceny sytuacji
267,Wiadomości z zakresu ratownictwa wodnego,Człowieka z wody podejmujemy:,W miejscu gdzie jest najłatwiej przy zachowaniu stateczności jednostki,Zawsze z burty nawietrznej,Przy dziobie jachtu,A,W miejscu gdzie jest najłatwiej przy zachowaniu stateczności jednostki
268,Wiadomości z zakresu ratownictwa wodnego,W jakie osobiste środki ratunkowe ma być wyposażony jacht żeglujący na wodach śródlądowych?,W pasy/ kamizelki ratunkowe w ilości takiej jak ilość osób na pokładzie,Pasy/kamizelki ratunkowe i pasy bezpieczeństwa dla wszystkich osób na pokładzie,tyle ile jest osób na pokładzie plus jedna lub koło ratunkowe,C,tyle ile jest osób na pokładzie plus jedna lub koło ratunkowe
